userID,top,top score,top ratio,p / n,p n score,p n ratio,anger,anticip,disgust,fear,joy,n,p,sad,sur,trust,sum emotions,total tweets,no of active days,no. of times night,least 1,least 2,least 3,least 4,least 5,least 6,least 7,most 1,most 2,most 3,most 4,most 5,most 6,most 7
anonymous22,joy,77,0.201044386,p,125,0.326370757,0.023,0.19,0,0.041,0.201044386,0.067,0.326370757,0.018,0.044,0.086,0.996415144,56,44,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2
anonymous23,joy,177,0.173189824,p,280,0.273972603,0.027,0.132,0.025,0.033,0.173189824,0.079,0.273972603,0.046,0.055,0.152,0.996162427,439,60,46,1,1,2,2,2,3,3,20,15,14,13,13,13,13
anonymous24,trust,266,0.105555556,p,449,0.178174603,0.076,0.092,0.063,0.082,0.096,0.155,0.178174603,0.094,0.054,0.105555556,0.995730159,1125,60,72,3,3,3,3,3,4,4,79,46,44,38,37,35,35
anonymous25,joy,143,0.13253012,p,229,0.21223355,0.053,0.132,0.054,0.06,0.13253012,0.133,0.21223355,0.061,0.049,0.11,0.99676367,495,60,20,1,2,2,2,2,2,3,32,19,19,18,17,17,16
anonymous26,anger,138,0.100145138,n,297,0.215529753,0.100145138,0.082,0.088,0.095,0.052,0.215,0.158,0.07,0.037,0.098,0.995145138,610,56,131,1,1,1,1,1,1,2,60,56,37,30,28,27,24
anonymous27,fear,359,0.142290924,n,505,0.200158541,0.108,0.081,0.047,0.142290924,0.053,0.200158541,0.143,0.079,0.044,0.099,0.996449465,543,56,168,1,1,2,2,2,3,3,28,27,24,23,22,18,17
anonymous28,joy,234,0.188709677,p,308,0.248387097,0.03,0.161,0.024,0.039,0.188709677,0.07,0.248387097,0.039,0.067,0.129,0.996096774,429,57,46,1,1,1,2,2,2,2,38,22,21,19,15,15,15
anonymous29,joy,303,0.166666667,p,455,0.250275028,0.027,0.135,0.041,0.044,0.166666667,0.091,0.236722307,0.053,0.073,0.116,0.983388973,423,58,130,1,1,1,1,2,3,3,21,16,14,14,13,12,12
anonymous30,trust,110,0.166919575,p,156,0.236722307,0.042,0.153,0.025,0.076,0.136,0.094,0.236,0.033,0.034,0.166919575,0.995919575,214,50,20,1,1,1,1,1,1,1,13,12,11,9,9,9,8
anonymous31,anger,161,0.124613003,p,214,0.165634675,0.124613003,0.07,0.082,0.098,0.065,0.163,0.165,0.082,0.048,0.098,0.995613003,385,55,92,1,1,1,1,1,1,1,25,21,21,17,16,16,13
anonymous32,trust,165,0.139240506,p,309,0.260759494,0.047,0.132,0.047,0.068,0.081,0.128,0.26,0.056,0.037,0.139240506,0.995240506,388,58,24,1,1,1,1,1,1,1,28,20,17,17,17,14,13
anonymous33,anticip,95,0.138282387,p,135,0.19650655,0.061,0.138282387,0.037,0.078,0.1,0.147,0.19650655,0.087,0.055,0.097,0.996788937,482,54,19,1,1,1,1,2,2,2,40,39,23,19,19,16,15
anonymous34,anticip,54,0.112266112,p,124,0.257796258,0.031,0.112266112,0.033,0.051,0.203,0.099,0.257796258,0.035,0.087,0.087,0.99606237,51,49,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1
anonymous35,trust,698,0.159324355,p,1424,0.325039945,0.028,0.113,0.014,0.04,0.153,0.064,0.325,0.042,0.058,0.159324355,0.996324355,1614,60,66,3,4,4,7,7,8,8,73,73,62,61,54,51,51
anonymous36,joy,79,0.170995671,p,95,0.205627706,0.047,0.14,0.025,0.069,0.170995671,0.095,0.205627706,0.069,0.064,0.11,0.995623377,108,19,5,1,1,1,2,2,2,3,16,15,13,9,9,8,6
anonymous37,trust,426,0.140779907,p,578,0.191011236,0.06,0.135,0.048,0.075,0.087,0.134,0.191011236,0.073,0.052,0.140779907,0.995791143,1723,60,134,4,5,7,8,9,9,10,96,91,81,69,64,55,51
anonymous38,disgust,33,0.120437956,n,51,0.186131387,0.098,0.062,0.120437956,0.105,0.065,0.186131387,0.12,0.076,0.058,0.105,0.995569343,129,40,3,1,1,1,1,1,1,1,10,9,9,8,6,5,5
anonymous39,trust,24,0.114832536,p,69,0.330143541,0.023,0.09,0.004,0.038,0.258,0.052,0.330143541,0.066,0.019,0.114832536,0.994976077,61,24,3,1,1,1,1,1,1,1,10,9,6,5,3,3,3
anonymous40,anger,154,0.121546961,n,232,0.183109708,0.121546961,0.068,0.066,0.088,0.055,0.183109708,0.179,0.089,0.045,0.101,0.995656669,204,47,12,1,1,1,1,1,1,1,13,12,11,10,10,9,8
anonymous41,trust,37,0.138576779,p,53,0.198501873,0.078,0.112,0.063,0.063,0.093,0.112,0.198501873,0.059,0.078,0.138576779,0.995078652,218,48,52,1,1,1,1,1,1,1,17,17,11,11,10,10,10
anonymous42,joy,395,0.157684631,p,708,0.282634731,0.031,0.135,0.025,0.033,0.157684631,0.087,0.282,0.049,0.058,0.137,0.994684631,829,49,186,1,2,4,5,5,5,6,52,48,41,33,31,28,27
anonymous43,fear,288,0.138795181,p,391,0.188433735,0.069,0.085,0.064,0.138795181,0.067,0.167,0.188433735,0.076,0.058,0.082,0.995228916,455,56,22,1,1,1,1,2,2,3,41,26,25,21,20,19,17
anonymous44,trust,52,0.144846797,p,67,0.186629526,0.064,0.1,0.041,0.086,0.072,0.175,0.186629526,0.086,0.041,0.144846797,0.996476323,416,48,97,1,1,1,1,2,2,2,31,25,24,22,17,17,16
anonymous45,joy,147,0.172737955,p,283,0.332549941,0.027,0.138,0.017,0.029,0.172737955,0.041,0.332549941,0.03,0.042,0.168,0.997287897,152,60,4,1,1,1,2,2,2,2,10,8,5,5,4,3,3
anonymous46,anger,239,0.109382151,n,376,0.17208238,0.109382151,0.089,0.073,0.087,0.082,0.17208238,0.164,0.082,0.054,0.085,0.997464531,677,58,50,1,1,2,2,3,3,3,35,35,33,26,25,24,22
anonymous47,trust,619,0.132266492,p,405,0.202155454,0.083,0.079,0.056,0.097,0.079,0.156,0.202155454,0.076,0.037,0.132266492,0.997421946,625,60,184,1,1,1,1,1,1,1,31,26,26,25,25,24,21
anonymous48,joy,41,0.288732394,p,59,0.415492958,0.028,0.063,0,0.028,0.288732394,0.021,0.415492958,0.007,0.014,0.133,0.998225352,59,39,8,1,1,1,1,1,1,1,4,4,3,2,2,2,2
anonymous49,trust,1606,0.143636526,p,3057,0.27341025,0.04,0.118,0.032,0.057,0.14,0.088,0.27341025,0.056,0.049,0.143636526,0.997046776,1459,60,6,5,7,7,10,12,14,16,46,42,38,38,38,37,35
anonymous50,fear,130,0.110732538,n,258,0.219761499,0.103,0.086,0.065,0.110732538,0.053,0.219761499,0.14,0.092,0.034,0.092,0.995494037,473,57,13,1,1,1,1,1,2,2,28,24,23,21,16,12,12
anonymous51,trust,46,0.111922141,p,91,0.221411192,0.077,0.092,0.06,0.068,0.092,0.153,0.221411192,0.082,0.038,0.111922141,0.995333333,377,54,37,1,1,1,1,1,2,2,28,20,15,14,13,13,13
anonymous52,trust,527,0.130155594,p,805,0.198814522,0.083,0.093,0.053,0.088,0.079,0.156,0.198814522,0.082,0.033,0.130155594,0.995970116,1035,60,144,1,1,1,1,3,3,3,63,53,43,41,37,35,35
anonymous53,anticip,370,0.099892009,p,740,0.199784017,0.069,0.099892009,0.059,0.113,0.063,0.171,0.199784017,0.086,0.04,0.096,0.996676026,1793,60,85,19,19,19,20,21,22,22,48,47,46,45,43,43,39
anonymous54,sad,81,0.178021978,p,105,0.230769231,0.076,0.079,0.039,0.065,0.074,0.129,0.230769231,0.178021978,0.039,0.085,0.994791209,226,49,3,1,1,1,1,1,1,1,25,13,10,10,10,9,9
anonymous55,trust,59,0.154450262,p,105,0.27486911,0.054,0.128,0.028,0.039,0.123,0.089,0.27486911,0.039,0.068,0.154450262,0.997319372,185,51,31,1,1,1,1,1,1,1,12,8,8,7,7,6,6
anonymous56,joy,80,0.209973753,p,110,0.288713911,0.015,0.078,0.015,0.055,0.209973753,0.081,0.288713911,0.078,0.055,0.12,0.995687664,41,32,3,1,1,1,1,1,1,1,3,2,2,2,2,2,2
anonymous57,joy,132,0.135384615,p,203,0.208205128,0.041,0.131,0.075,0.043,0.135384615,0.144,0.208205128,0.036,0.058,0.125,0.996589744,476,56,42,1,1,1,1,1,1,1,43,35,31,30,28,25,23
anonymous58,anger,883,0.115168906,n,1586,0.115168906,0.115168906,0.07,0.08,0.103,0.042,0.206860571,0.152,0.08,0.041,0.107,0.997029477,1528,60,134,2,2,3,3,5,6,6,62,56,56,55,54,51,49
anonymous59,trust,646,0.124111431,p,880,0.169068204,0.079,0.071,0.057,0.101,0.094,0.155,0.169,0.089,0.058,0.124111431,0.997111431,1622,60,306,4,5,6,6,7,8,8,155,87,68,56,56,48,43
anonymous60,trust,78,0.13,p,116,0.193333333,0.078,0.105,0.07,0.063,0.086,0.153,0.193333333,0.075,0.045,0.13,0.998333333,255,53,101,1,1,1,1,1,1,1,19,16,12,12,10,10,10
anonymous61,disgust,15,0.128205128,n,26,0.222222222,0.094,0.059,0.128205128,0.076,0.051,0.222222222,0.153,0.094,0.017,0.102,0.99642735,52,22,2,1,1,1,1,1,1,1,6,6,5,4,3,3,3
anonymous62,trust,116,0.122621564,p,214,0.226215645,0.076,0.086,0.04,0.1,0.102,0.122,0.226215645,0.088,0.033,0.122621564,0.995837209,84,49,7,1,1,1,1,1,1,1,3,3,3,3,3,3,3
anonymous63,joy,25,0.16025641,p,32,0.205128205,0.083,0.102,0.038,0.012,0.16025641,0.153,0.205128205,0.064,0.076,0.102,0.995384615,64,22,9,1,1,1,2,2,2,2,6,5,5,5,5,5,3
anonymous64,anger,342,0.121881682,n,482,0.171774768,0.121881682,0.094,0.051,0.077,0.088,0.171774768,0.162,0.086,0.063,0.081,0.99565645,1745,58,322,3,4,5,6,8,10,10,97,65,60,58,56,56,56
anonymous65,trust,407,0.126870324,p,637,0.198566085,0.083,0.09,0.045,0.053,0.093,0.146,0.198566085,0.077,0.083,0.126870324,0.995436409,488,59,160,1,1,1,1,1,1,1,30,26,24,19,19,19,14
anonymous66,joy,251,0.152213463,p,348,0.211036992,0.045,0.137,0.041,0.055,0.152213463,0.101,0.211036992,0.067,0.07,0.116,0.995250455,370,59,6,1,1,1,1,1,2,2,23,19,17,13,13,12,12
anonymous67,trust,30,0.111524164,p,47,0.17472119,0.092,0.107,0.066,0.078,0.081,0.148,0.17472119,0.07,0.066,0.111524164,0.994245353,379,31,51,1,1,1,1,1,1,1,47,44,30,28,27,25,24
anonymous68,trust,112,0.132544379,p,167,0.197633136,0.076,0.099,0.059,0.059,0.095,0.153,0.197633136,0.068,0.056,0.132544379,0.995177515,321,50,51,1,1,1,1,1,1,1,26,23,23,22,21,20,20
anonymous69,trust,342,0.140509449,p,462,0.189811011,0.077,0.095,0.068,0.077,0.067,0.169,0.189811011,0.071,0.042,0.140509449,0.99632046,1389,60,276,4,5,6,6,7,8,9,69,62,56,55,52,44,44
anonymous70,fear,16,0.110344828,n,26,0.179310345,0.062,0.075,0.068,0.110344828,0.089,0.179310345,0.158,0.103,0.034,0.117,0.995655172,30,26,10,1,1,1,1,1,1,1,2,2,2,2,1,1,1
anonymous71,anger,73,0.107669617,n,137,0.202064897,0.107669617,0.07,0.082,0.088,0.066,0.202064897,0.166,0.082,0.041,0.091,0.995734513,334,45,0,1,1,1,1,1,1,1,26,18,17,16,16,15,15
anonymous72,disgust,1204,0.155696366,n,1528,0.197594724,0.114,0.043,0.155696366,0.095,0.079,0.197594724,0.156,0.058,0.036,0.062,0.99629109,681,60,113,3,3,3,4,4,5,6,24,23,21,20,20,19,19
anonymous73,trust,82,0.158301158,p,143,0.276061776,0.044,0.144,0.023,0.04,0.135,0.073,0.276061776,0.046,0.057,0.158301158,0.996362934,237,57,70,1,1,1,1,1,2,2,14,13,10,10,9,8,8
anonymous74,trust,224,0.113074205,p,426,0.215042908,0.077,0.079,0.058,0.089,0.086,0.153,0.215,0.08,0.045,0.113,0.995,725,54,102,1,1,2,2,3,3,4,43,30,29,29,24,24,22
anonymous75,joy,56,0.216216216,p,76,0.293436293,0.023,0.166,0.023,0.038,0.216216216,0.084,0.293436293,0.034,0.034,0.084,0.99565251,39,25,1,1,1,1,1,1,1,1,4,3,3,2,2,2,2
anonymous76,sad,86,0.103365385,n,170,0.204326923,0.096,0.078,0.088,0.081,0.06,0.204326923,0.14,0.103365385,0.103,0.045,0.998692308,187,51,36,1,1,1,1,1,1,1,16,13,11,9,7,7,7
anonymous77,fear,46,0.109263658,n,84,0.199524941,0.08,0.066,0.104,0.109263658,0.057,0.199524941,0.149,0.078,0.047,0.106,0.995788599,137,50,5,1,1,1,1,1,1,1,9,7,7,7,7,5,5
anonymous78,joy,726,0.233140655,p,817,0.26236352,0.003,0.135,0.004,0.005,0.233140655,0.026,0.26236352,0.015,0.138,0.175,0.996504175,1094,60,255,4,5,7,7,7,8,9,35,30,30,29,28,28,28
anonymous79,anticip,171,0.163323782,p,267,0.255014327,0.035,0.163323782,0.024,0.041,0.136,0.094,0.255014327,0.055,0.031,0.162,0.996338109,305,60,113,1,1,1,2,2,2,2,12,10,9,9,9,8,8
anonymous80,anger,274,0.121346324,n,379,0.204162976,0.121346324,0.058,0.093,0.079,0.046,0.204162976,0.167,0.094,0.037,0.096,0.9955093,920,55,476,1,1,1,1,1,1,1,82,63,60,45,45,35,32
anonymous81,trust,163,0.159179688,p,318,0.310546875,0.037,0.116,0.01,0.071,0.114,0.088,0.310546875,0.047,0.043,0.159179688,0.995726563,200,49,3,1,1,1,1,2,2,2,16,13,12,11,8,8,7
anonymous82,trust,871,0.201015463,p,1489,0.343641819,0.013,0.1,0.006,0.03,0.195,0.03,0.343641819,0.026,0.051,0.201015463,0.995657281,840,60,57,5,6,8,9,9,10,10,20,19,18,18,18,17,17
anonymous83,joy,182,0.161777778,p,324,0.288,0.037,0.122,0.026,0.041,0.161777778,0.08,0.288,0.032,0.052,0.157,0.996777778,354,52,28,1,1,1,1,1,1,1,40,32,28,23,16,13,12
anonymous84,trust,339,0.135329341,p,528,0.210778443,0.062,0.106,0.038,0.078,0.126,0.116,0.210778443,0.077,0.047,0.135329341,0.996107784,358,42,65,1,1,1,1,1,1,1,27,24,22,22,20,20,20
anonymous85,trust,49,0.121890547,p,73,0.18159204,0.089,0.087,0.057,0.087,0.079,0.164,0.18159204,0.089,0.042,0.121890547,0.997482587,66,26,9,1,1,1,1,1,1,1,8,7,6,5,5,4,3
anonymous86,anger,64,0.122370937,n,115,0.219885277,0.122370937,0.091,0.07,0.061,0.089,0.219885277,0.162,0.057,0.049,0.074,0.995256214,71,37,10,1,1,1,1,1,1,1,7,6,5,4,4,3,3
anonymous87,trust,472,0.120224147,n,817,0.208099847,0.092,0.077,0.09,0.084,0.066,0.208099847,0.159,0.064,0.034,0.120224147,0.994323994,1740,60,262,1,1,1,5,6,6,8,104,80,72,66,58,57,56
anonymous88,trust,369,0.127329193,p,544,0.187715666,0.078,0.09,0.051,0.107,0.059,0.172,0.187715666,0.078,0.047,0.127329193,0.997044859,744,60,125,2,3,4,4,4,4,4,33,27,27,24,23,21,21
anonymous89,joy,138,0.150490731,p,245,0.267175573,0.049,0.13,0.026,0.051,0.150490731,0.087,0.267175573,0.052,0.037,0.148,0.997666303,100,21,2,1,1,1,1,1,2,2,13,11,10,9,9,6,5
anonymous90,disgust,18,0.108433735,n,34,0.204819277,0.072,0.108,0.108433735,0.054,0.054,0.204819277,0.156,0.084,0.048,0.108,0.997253012,70,24,22,1,1,1,1,1,1,1,15,9,7,5,4,4,4
anonymous91,trust,162,0.119557196,p,287,0.211808118,0.073,0.096,0.045,0.075,0.102,0.15,0.211808118,0.076,0.047,0.119557196,0.995365314,331,39,114,1,1,1,1,1,1,2,43,25,18,17,15,14,14
anonymous92,trust,136,0.131655373,p,253,0.244917715,0.067,0.099,0.047,0.073,0.1006,0.135,0.244917715,0.058,0.04,0.131655373,0.996173088,256,51,40,1,1,1,1,1,2,2,14,12,11,10,9,9,8
anonymous93,fear,268,0.109836066,n,438,0.179508197,0.108,0.081,0.07,0.109836066,0.048,0.179508197,0.148,0.105,0.038,0.108,0.995344262,651,48,259,1,1,1,1,1,1,1,74,46,35,34,33,28,22
anonymous94,joy,27,0.192857143,p,38,0.271428571,0.014,0.178,0.042,0.057,0.192857143,0.085,0.271428571,0.057,0.021,0.078,0.996285714,12,6,3,0,1,1,1,2,3,4,4,3,2,1,1,1,0
anonymous95,trust,148,0.148296593,p,234,0.234468938,0.059,0.099,0.053,0.058,0.095,0.137,0.234468938,0.066,0.049,0.148296593,0.998765531,159,57,21,1,1,1,1,1,1,1,9,7,6,6,6,5,5
anonymous96,trust,106,0.135549872,p,188,0.240409207,0.07,0.094,0.021,0.066,0.121,0.124,0.240409207,0.094,0.03,0.135549872,0.995959079,121,60,0,1,1,1,1,1,1,1,7,6,4,3,3,3,3
anonymous97,joy,147,0.135359116,p,318,0.29281768,0.039,0.129,0.016,0.047,0.135359116,0.095,0.29281768,0.045,0.061,0.135,0.995176796,181,57,2,1,1,1,1,2,2,2,7,7,7,6,6,5,5
anonymous98,trust,61,0.23828125,p,84,0.328125,0,0.16,0,0.007,0.23828125,0.023,0.328125,0.011,0.058,0.171875,0.99728125,24,13,12,1,1,1,1,1,1,2,3,3,3,3,3,2,1
anonymous99,trust,42,0.155555556,p,68,0.251851852,0.04,0.081,0.037,0.07,0.081,0.144,0.251851852,0.081,0.055,0.155555556,0.996407407,92,25,19,1,1,1,1,1,1,2,15,14,8,8,4,4,4
anonymous100,anger,291,0.107103423,n,505,0.185866765,0.107103423,0.09,0.061,0.096,0.067,0.185866765,0.148,0.087,0.055,0.1,0.996970188,649,59,97,2,2,4,4,4,5,5,30,23,23,23,21,18,18
anonymous101,trust,81,0.127158556,p,108,0.169544741,0.062,0.111,0.065,0.08,0.108,0.141,0.169544741,0.08,0.053,0.127158556,0.996703297,220,58,33,1,1,1,1,2,2,2,9,8,8,8,8,7,7
anonymous102,joy,482,0.216337522,p,792,0.355475763,0.015,0.118,0.008,0.033,0.216337522,0.056,0.355475763,0.023,0.04,0.132,0.996813285,926,60,48,8,9,9,10,10,10,10,28,25,24,23,22,22,22
anonymous103,joy,217,0.214003945,p,299,0.294871795,0.033,0.124,0.032,0.036,0.214003945,0.029,0.294871795,0.011,0.027,0.195,0.99587574,68,42,3,1,1,1,1,1,1,1,6,4,3,3,3,3,2
anonymous104,joy,58,0.149870801,p,103,0.266149871,0.046,0.093,0.046,0.056,0.149870801,0.098,0.266149871,0.054,0.051,0.136,0.996020672,146,40,21,1,1,1,1,1,1,1,17,11,9,8,7,7,6
anonymous105,joy,121,0.223659889,p,151,0.279112754,0.014,0.162,0.007,0.016,0.223659889,0.029,0.279112754,0.038,0.083,0.144,0.995772643,273,47,6,1,1,1,1,1,1,2,16,15,14,13,12,11,10
anonymous106,disgust,28,0.14507772,n,41,0.212435233,0.145,0.056,0.14507772,0.124,0.046,0.212435233,0.113,0.051,0.015,0.088,0.995512953,163,44,25,1,1,1,1,1,1,1,20,16,12,10,7,7,7
anonymous107,joy,28,0.147368421,p,40,0.210526316,0.089,0.115,0.068,0.052,0.147368421,0.115,0.210526316,0.063,0.036,0.1,0.995894737,54,17,14,1,1,1,1,1,1,1,11,10,6,6,4,4,2
anonymous108,joy,21,0.159090909,p,29,0.21969697,0.09,0.143,0.03,0.053,0.159090909,0.09,0.21969697,0.053,0.075,0.083,0.995787879,29,22,2,1,1,1,1,1,1,1,3,2,2,2,2,2,1
anonymous109,trust,44,0.108910891,p,96,0.237623762,0.066,0.108,0.066,0.054,0.076,0.165,0.237623762,0.071,0.042,0.108910891,0.994534653,142,60,33,1,1,1,1,1,1,1,14,7,6,6,6,5,5
anonymous110,joy,101,0.145114943,p,168,0.24137931,0.044,0.136,0.015,0.03,0.145114943,0.087,0.24137931,0.048,0.11,0.139,0.995494253,362,60,21,1,2,2,2,2,2,3,13,11,11,10,10,10,10
anonymous111,joy,548,0.183646113,p,1043,0.349530831,0.016,0.123,0.009,0.034,0.183646113,0.051,0.349530831,0.024,0.05,0.155,0.995176944,686,60,242,2,3,5,5,6,6,7,22,21,17,17,17,16,16
anonymous112,joy,1321,0.206599937,p,2151,0.336409134,0.012,0.104,0.004,0.0111,0.206599937,0.024,0.336409134,0.049,0.093,0.156,0.996109071,1530,55,45,1,1,1,5,5,6,8,103,78,74,68,55,54,49
anonymous113,joy,116,0.190789474,p,177,0.291118421,0.05,0.118,0.019,0.041,0.190789474,0.064,0.291118421,0.039,0.046,0.138,0.996907895,142,60,2,1,1,1,1,1,1,2,5,5,5,4,4,4,3
anonymous114,joy,473,0.191497976,p,739,0.321052632,0.018,0.132,0.011,0.036,0.191497976,0.048,0.321052632,0.021,0.042,0.175,0.995550607,632,42,54,1,1,1,1,1,1,2,54,39,34,31,29,29,27
anonymous115,trust,48,0.120603015,p,66,0.193467337,0.067,0.08,0.067,0.077,0.09,0.165,0.193467337,0.077,0.057,0.120603015,0.994070352,286,44,15,1,1,1,1,1,1,2,35,26,21,18,16,12,11
anonymous116,trust,130,0.185714286,p,203,0.29,0.018,0.12,0.022,0.027,0.164,0.07,0.29,0.027,0.074,0.185714286,0.997714286,145,43,16,1,1,1,1,1,1,1,11,10,9,8,7,7,6
anonymous117,joy,33,0.149321267,p,47,0.212669683,0.036,0.135,0.027,0.054,0.149321267,0.104,0.212669683,0.063,0.081,0.135,0.99699095,107,53,11,1,1,1,1,1,1,1,4,4,4,4,3,3,3
anonymous118,anticip,112,0.118895966,p,183,0.194267516,0.061,0.118895966,0.037,0.074,0.104,0.144,0.194267516,0.076,0.074,0.114,0.997163482,803,60,406,2,3,5,6,6,7,7,38,30,28,24,23,22,22
anonymous119,joy,15,0.153061224,p,20,0.204081633,0.03,0.142,0.02,0.081,0.153061224,0.112,0.204081633,0.051,0.061,0.142,0.996142857,176,15,91,3,3,4,7,7,7,10,23,21,20,17,16,15,13
anonymous120,anticip,36,0.130434783,p,80,0.289855072,0.047,0.130434783,0.025,0.065,0.112,0.108,0.289855072,0.039,0.065,0.115,0.996289855,1474,60,202,3,3,5,6,8,9,9,59,52,48,46,46,45,45
anonymous121,trust,417,0.185746102,p,548,0.244097996,0.055,0.098,0.057,0.051,0.105,0.104,0.244097996,0.049,0.048,0.185746102,0.996844098,579,50,27,1,1,1,1,2,2,2,31,30,28,26,25,25,20
anonymous122,sad,158,0.102797658,n,302,0.196486662,0.096,0.05,0.131,0.094,0.071,0.196486662,0.131,0.102797658,0.038,0.086,0.99628432,1572,60,286,1,3,3,3,3,3,4,104,77,73,67,64,64,55
anonymous123,joy,49,0.163333333,p,75,0.25,0.046,0.123,0.036,0.06,0.163333333,0.083,0.25,0.053,0.073,0.11,0.997333333,43,21,12,1,1,1,1,1,1,1,5,4,4,3,3,3,2
